dataset,kind,config,seed,k,exact_score,anneal_score,score_gap,optimal,evaluations,time_seconds,columns
dna_three_sequence,DNA,small,20262453,3,22,22,0,yes,6020,0.1467,6
dna_three_sequence,DNA,small,20262454,3,22,22,0,yes,6020,0.1702,6
dna_three_sequence,DNA,small,20262455,3,22,22,0,yes,6020,0.1479,6
dna_three_sequence,DNA,small,20262456,3,22,22,0,yes,6020,0.1485,6
dna_three_sequence,DNA,small,20262457,3,22,22,0,yes,6020,0.1468,6
dna_three_sequence,DNA,small,20262458,3,22,22,0,yes,6020,0.1448,6
dna_three_sequence,DNA,small,20262459,3,22,22,0,yes,6020,0.1475,6
dna_three_sequence,DNA,small,20262460,3,22,22,0,yes,6020,0.1479,6
dna_three_sequence,DNA,small,20262461,3,22,22,0,yes,6020,0.1466,6
dna_three_sequence,DNA,small,20262462,3,22,22,0,yes,6020,0.1457,6
dna_three_sequence,DNA,medium,20262454,3,22,22,0,yes,35050,0.8496,6
dna_three_sequence,DNA,medium,20262455,3,22,22,0,yes,35050,0.8432,6
dna_three_sequence,DNA,medium,20262456,3,22,22,0,yes,35050,0.8433,6
dna_three_sequence,DNA,medium,20262457,3,22,22,0,yes,35050,0.8436,6
dna_three_sequence,DNA,medium,20262458,3,22,22,0,yes,35050,0.8406,6
dna_three_sequence,DNA,medium,20262459,3,22,22,0,yes,35050,0.8496,6
dna_three_sequence,DNA,medium,20262460,3,22,22,0,yes,35050,0.9235,6
dna_three_sequence,DNA,medium,20262461,3,22,22,0,yes,35050,0.8801,6
dna_three_sequence,DNA,medium,20262462,3,22,22,0,yes,35050,0.8864,6
dna_three_sequence,DNA,medium,20262463,3,22,22,0,yes,35050,0.8688,6
protein_three_sequence,protein,small,20262857,3,28,28,0,yes,6020,0.1665,7
protein_three_sequence,protein,small,20262858,3,28,28,0,yes,6020,0.1658,7
protein_three_sequence,protein,small,20262859,3,28,28,0,yes,6020,0.1659,7
protein_three_sequence,protein,small,20262860,3,28,28,0,yes,6020,0.1936,7
protein_three_sequence,protein,small,20262861,3,28,28,0,yes,6020,0.1634,7
protein_three_sequence,protein,small,20262862,3,28,28,0,yes,6020,0.1673,7
protein_three_sequence,protein,small,20262863,3,28,28,0,yes,6020,0.1674,7
protein_three_sequence,protein,small,20262864,3,28,28,0,yes,6020,0.1646,7
protein_three_sequence,protein,small,20262865,3,28,28,0,yes,6020,0.1684,7
protein_three_sequence,protein,small,20262866,3,28,28,0,yes,6020,0.1628,7
protein_three_sequence,protein,medium,20262858,3,28,28,0,yes,35050,0.9484,7
protein_three_sequence,protein,medium,20262859,3,28,28,0,yes,35050,0.9481,7
protein_three_sequence,protein,medium,20262860,3,28,28,0,yes,35050,1.0806,7
protein_three_sequence,protein,medium,20262861,3,28,28,0,yes,35050,0.9506,7
protein_three_sequence,protein,medium,20262862,3,28,28,0,yes,35050,0.9438,7
protein_three_sequence,protein,medium,20262863,3,28,28,0,yes,35050,0.9401,7
protein_three_sequence,protein,medium,20262864,3,28,28,0,yes,35050,0.9395,7
protein_three_sequence,protein,medium,20262865,3,28,28,0,yes,35050,0.9388,7
protein_three_sequence,protein,medium,20262866,3,28,28,0,yes,35050,0.9333,7
protein_three_sequence,protein,medium,20262867,3,28,28,0,yes,35050,0.9636,7
synthetic_four_sequence,DNA,small,20262958,4,69,69,0,yes,6020,0.2497,9
synthetic_four_sequence,DNA,small,20262959,4,69,69,0,yes,6020,0.2557,9
synthetic_four_sequence,DNA,small,20262960,4,69,69,0,yes,6020,0.2575,9
synthetic_four_sequence,DNA,small,20262961,4,69,69,0,yes,6020,0.2539,9
synthetic_four_sequence,DNA,small,20262962,4,69,69,0,yes,6020,0.2832,9
synthetic_four_sequence,DNA,small,20262963,4,69,69,0,yes,6020,0.2584,9
